experiment,type,level,noise_mode,drop_count,repeat_id,cls_acc,material_acc,soc_medae_raw,soc_medape_raw,soh_medae_raw,soh_medape_raw,soc_mae_raw,soh_mae_raw,soc_rmse_raw,soh_rmse_raw,n_test
noise_ch12,noise,0.0,ch12_u2_u41,0,0,0.91796875,0.97421875,1.8715108068270077,4.896211312303642,2.178689112348181,2.7099334282659635,3.9216501897928593,4.12920051451222,8.002047395054829,6.257834841640246,1280
noise_ch12,noise,0.001,ch12_u2_u41,0,0,0.88828125,0.95546875,2.2888379765950333,5.673303025707392,2.346016754626689,2.8915352200155295,4.594949588969909,4.4731363640652315,8.773648617958203,6.834742012490061,1280
noise_ch12,noise,0.003,ch12_u2_u41,0,0,0.7453125,0.87421875,3.8280925474495007,9.029220123264231,3.2991780871548713,3.9796933923420434,6.778239318802602,5.889480789527503,11.24796324231278,8.652283918668662,1280
noise_ch12,noise,0.005,ch12_u2_u41,0,0,0.64609375,0.82265625,5.231814681216516,12.82162638633448,3.9760106972135745,4.899519597158858,8.341493064547858,6.580036741426852,12.80929410094419,9.303557104773343,1280
noise_ch12,noise,0.01,ch12_u2_u41,0,0,0.49765625,0.73125,8.465210623606882,18.611814316233414,5.423132507107688,6.412163895348972,11.927672763972193,7.747097258668764,16.85801636526314,10.401951926974995,1280
noise_ch12,noise,0.02,ch12_u2_u41,0,0,0.37265625,0.6640625,11.312069050157241,27.252554930154865,6.844914922483497,8.128803582873678,14.575501797597036,8.63910322135126,19.141592605655052,11.119266897701582,1280
noise_ch12,noise,0.05,ch12_u2_u41,0,0,0.2609375,0.6203125,18.02137480288893,41.09310595581023,7.829611349940997,9.111637619252466,19.88919186494077,9.268394269615575,24.046592836349234,11.601301222039744,1280
noise_full,noise,0.0,full_u1_u41,0,0,0.91796875,0.97421875,1.905033491000129,4.844764239423164,2.169681758899138,2.653533790915625,3.921722778379234,4.133834177763878,8.009351921219618,6.273858744123689,1280
noise_full,noise,0.001,full_u1_u41,0,0,0.88125,0.9453125,2.353349758759528,5.7659455933484045,2.4531901631184425,3.0142551332712824,4.6257748284060485,4.522935665828534,8.705185172197801,6.875379109783739,1280
noise_full,noise,0.003,full_u1_u41,0,0,0.75,0.878125,3.6879651048252495,8.978586670626541,3.02801936651241,3.6951688504070708,6.742797806986074,5.6109183932158935,11.352781980950938,8.293134521864548,1280
noise_full,noise,0.005,full_u1_u41,0,0,0.64375,0.81171875,4.9713790316763955,12.273445469213264,3.833111007012903,4.730121455675883,8.448380169056138,6.615204364890974,13.388723376262583,9.36309626940087,1280
noise_full,noise,0.01,full_u1_u41,0,0,0.4828125,0.7234375,7.906356586992637,18.861385762026504,5.434854050998631,6.414053503412754,11.449427298514081,7.745986623200075,16.242041131653455,10.400875649753692,1280
noise_full,noise,0.02,full_u1_u41,0,0,0.3796875,0.6828125,11.65932628152886,27.874630399290446,6.468925571337721,7.774998170030472,15.143603980779194,8.397277184815191,19.937424504457745,10.84655823448384,1280
noise_full,noise,0.05,full_u1_u41,0,0,0.24609375,0.60625,17.263292891634578,40.25722439901406,7.3647086948040155,8.884390504964589,19.740045068050826,9.053231428056382,24.027547037267986,11.5486861411363,1280
